tipologia,genere,zona,bagno,cucina,salotto,balcone,euro,range euro
doppia,M/F,Irnerio,1,1,0,0,265,250-275
doppia,M/F,Lame,1,1,0,0,275,275-300
doppia,F,Murri,1,1,0,1,317,300-325
doppia,F,San Donato,2,1,0,1,250,250-275
doppia,M/F,Mazzini,1,1,0,1,200,200-225
doppia,M/F,San Donato,1,1,1,1,280,275-300
doppia,F,Irnerio,2,1,0,1,256,250-275
doppia,M/F,Marconi,1,1,1,0,250,250-275
doppia,F,S.Vitale,1,1,0,1,270,250-275
doppia,F,Irnerio,2,1,0,0,210,200-225
doppia,M,Saffi,1,1,0,1,235,225-250
doppia,M/F,Galvani,2,1,1,0,267,250-275
doppia,F,Costa Saragozza,1,1,0,0,260,250-275
doppia,F,Mazzini,1,1,0,1,280,275-300
doppia,M/F,Bolognina,1,1,0,1,350,350-375
doppia,F,Murri,1,1,1,2,230,225-250
doppia,M/F,Marconi,1,1,0,0,240,225-250
doppia,M,Irnerio,1,1,0,0,215,200-225
doppia,M/F,Galvani,1,1,0,0,225,225-250
doppia,F,Saffi,1,1,1,1,300,300-325
doppia,F,Mazzini,2,1,0,1,320,300-325
doppia,F,Bolognina,1,1,0,0,235,225-250
doppia,F,Mazzini,2,1,1,0,300,300-325
doppia,F,San Donato,1,1,1,1,210,200-225
doppia,M/F,Malpighi,1,1,0,0,285,275-300
doppia,F,Malpighi,1,1,0,0,350,350-375
doppia,F,Marconi,2,1,1,0,225,225-250
doppia,F,Saffi,1,1,1,0,225,225-250
doppia,M/F,Marconi,1,1,1,1,230,225-250
doppia,F,Marconi,2,1,1,0,275,275-300
doppia,F,Murri,2,1,0,0,206,200-225
doppia,M/F,Irnerio,1,1,0,0,240,225-250
doppia,M/F,Colli,1,1,0,0,300,300-325
doppia,M/F,Irnerio,1,1,0,0,250,250-275
doppia,M/F,Irnerio,1,1,1,1,250,250-275
doppia,M/F,Irnerio,2,1,0,0,270,275-300
doppia,M/F,Bolognina,1,1,0,2,237,225-250
doppia,M/F,Malpighi,2,1,1,0,250,250-275
doppia,M/F,Bolognina,1,1,1,0,250,250-275
doppia,F,Malpighi,1,1,1,0,350,350-375
doppia,F,Galvani,1,1,0,0,300,300-325
